"rgn_id","year","percent"
1,1999,10.10767357
2,1999,10.10767357
3,1999,10.10767357
4,1999,10.10767357
1,2000,10.36231658
2,2000,10.36231658
3,2000,10.36231658
4,2000,10.36231658
1,1995,4.1689800114
2,1995,4.1689800114
3,1995,4.1689800114
4,1995,4.1689800114
1,1996,3.9178466223
2,1996,3.9178466223
3,1996,3.9178466223
4,1996,3.9178466223
1,1997,4.3053029374
2,1997,4.3053029374
3,1997,4.3053029374
4,1997,4.3053029374
1,1998,5.0750671175
2,1998,5.0750671175
3,1998,5.0750671175
4,1998,5.0750671175
1,2005,8.290077778
2,2005,8.290077778
3,2005,8.290077778
4,2005,8.290077778
1,2006,8.4754361383
2,2006,8.4754361383
3,2006,8.4754361383
4,2006,8.4754361383
1,2007,8.6901690216
2,2007,8.6901690216
3,2007,8.6901690216
4,2007,8.6901690216
1,2008,8.9111313021
2,2008,8.9111313021
3,2008,8.9111313021
4,2008,8.9111313021
1,2009,9.13209358260001
2,2009,9.13209358260001
3,2009,9.13209358260001
4,2009,9.13209358260001
1,2010,9.35305586299999
2,2010,9.35305586299999
3,2010,9.35305586299999
4,2010,9.35305586299999
