"rgn_id","product","year","usd_rel"
2,"fish_oil",1999,0.00486085794142666
4,"fish_oil",1999,0.00486085794142666
3,"fish_oil",1999,0.00486085794142666
1,"fish_oil",1999,0.00486085794142666
2,"fish_oil",2000,0.00364564345607
4,"fish_oil",2000,0.00364564345607
3,"fish_oil",2000,0.00364564345607
1,"fish_oil",2000,0.00364564345607
2,"fish_oil",2001,0
4,"fish_oil",2001,0
3,"fish_oil",2001,0
1,"fish_oil",2001,0
2,"fish_oil",2002,0
4,"fish_oil",2002,0
3,"fish_oil",2002,0
1,"fish_oil",2002,0
2,"fish_oil",2003,0
4,"fish_oil",2003,0
3,"fish_oil",2003,0
1,"fish_oil",2003,0
2,"fish_oil",2004,0
4,"fish_oil",2004,0
3,"fish_oil",2004,0
1,"fish_oil",2004,0
2,"fish_oil",2005,0
4,"fish_oil",2005,0
3,"fish_oil",2005,0
1,"fish_oil",2005,0
2,"fish_oil",2006,0.0838497994896099
4,"fish_oil",2006,0.0838497994896099
3,"fish_oil",2006,0.0838497994896099
1,"fish_oil",2006,0.0838497994896099
2,"fish_oil",2007,0.33904484141451
4,"fish_oil",2007,0.33904484141451
3,"fish_oil",2007,0.33904484141451
1,"fish_oil",2007,0.33904484141451
2,"fish_oil",2008,0.586948596427269
4,"fish_oil",2008,0.586948596427269
3,"fish_oil",2008,0.586948596427269
1,"fish_oil",2008,0.586948596427269
2,"fish_oil",2009,1
4,"fish_oil",2009,1
3,"fish_oil",2009,1
1,"fish_oil",2009,1
2,"fish_oil",2010,1
4,"fish_oil",2010,1
3,"fish_oil",2010,1
1,"fish_oil",2010,1
2,"fish_oil",2011,1
4,"fish_oil",2011,1
3,"fish_oil",2011,1
1,"fish_oil",2011,1
2,"shells",1996,1
4,"shells",1996,1
3,"shells",1996,1
1,"shells",1996,1
2,"shells",1997,1
4,"shells",1997,1
3,"shells",1997,1
1,"shells",1997,1
2,"shells",1998,0.961538461538461
4,"shells",1998,0.961538461538461
3,"shells",1998,0.961538461538461
1,"shells",1998,0.961538461538461
2,"shells",1999,0.384615384615385
4,"shells",1999,0.384615384615385
3,"shells",1999,0.384615384615385
1,"shells",1999,0.384615384615385
2,"shells",2000,0.384615384615385
4,"shells",2000,0.384615384615385
3,"shells",2000,0.384615384615385
1,"shells",2000,0.384615384615385
2,"shells",2001,0.192307692307692
4,"shells",2001,0.192307692307692
3,"shells",2001,0.192307692307692
1,"shells",2001,0.192307692307692
2,"shells",2002,0
4,"shells",2002,0
3,"shells",2002,0
1,"shells",2002,0
2,"shells",2003,0
4,"shells",2003,0
3,"shells",2003,0
1,"shells",2003,0
2,"shells",2004,0
4,"shells",2004,0
3,"shells",2004,0
1,"shells",2004,0
2,"shells",2005,0
4,"shells",2005,0
3,"shells",2005,0
1,"shells",2005,0
2,"shells",2006,0.192307692307692
4,"shells",2006,0.192307692307692
3,"shells",2006,0.192307692307692
1,"shells",2006,0.192307692307692
2,"shells",2007,0.384615384615385
4,"shells",2007,0.384615384615385
3,"shells",2007,0.384615384615385
1,"shells",2007,0.384615384615385
2,"shells",2008,1
4,"shells",2008,1
3,"shells",2008,1
1,"shells",2008,1
2,"shells",2009,1
4,"shells",2009,1
3,"shells",2009,1
1,"shells",2009,1
2,"shells",2010,1
4,"shells",2010,1
3,"shells",2010,1
1,"shells",2010,1
2,"shells",2011,1
4,"shells",2011,1
3,"shells",2011,1
1,"shells",2011,1
